fake,real,notes,category
Tim Apple[154],Tim Cook,CEO of Apple,other people
Marillyn Lockheed[155],Marillyn Hewson,Former CEO of Lockheed Martin,other people
Mr. Kellyanne Conway[156] / Moonface / Husband From Hell,George Conway,"Attorney and husband of Kellyanne Conway. The ""Mr. Kellyanne"" nickname was used in relation to Conway's criticism of the appointment of Matthew Whitaker. The ""Moonface"" nickname was in response to a video sponsored by The Lincoln Project.[157]",other people
Dopey Mark Cuban[158],Mark Cuban,American investor and television star,other people
Punchy[159],Robert De Niro,"Actor, producer, and director",other people
Sir Charles[160],Charles Goldstein,Real estate lawyer; Holocaust victims advocate,other people
Goofball Atheist Penn[161],Penn Jillette,"Magician; appeared on Donald Trump's show, The Apprentice, where he was fired; outspoken libertarian; skeptic; atheist.",other people
Fake ABC News[162],ABC News,News network,organizations
Clinton News Network[163] / Fake News CNN[164][i] / Fraud News CNN[165] / Low ratings CNN[166] / Very Fake News[167][i],CNN,News channel (Cable News Network),organizations
CON-Cast[168] / Concast[169],Comcast,American telecommunications conglomerate,organizations
Democrat Party[170][j] / D.C. Wolves[171]/ Do Nothing Democrats,Democratic Party (United States),American political party,organizations
MSDNC[172],MSNBC,News channel,organizations
Corrupt New York Times[173] / Failing New York Times[1] / Old Grey Lady[174][k],The New York Times,Newspaper,organizations
Amazon Washington Post[175],The Washington Post,Newspaper,organizations
Deface the Nation[176],Face the Nation,A weekly talk show on CBS,television programs
Meet the Depressed[177],Meet the Press,A morning talk show on NBC,television programs
Morning Joke[178],Morning Joe,A daily talk show on MSNBC,television programs
Ukraine Witch Hunt[179],Trump–Ukraine scandal,A conversation between Trump and Ukrainian president Volodymyr Zelensky where an intelligence analyst who listened in on the conversation blew the whistle and filed a complaint that Trump did something illegal.,miscellaneous
Mueller Collusion Delusion[180],Mueller Report,The report issued by special counsel Robert Mueller on the Russian efforts to interfere in the 2016 United States presidential election,miscellaneous
Russia Collusion Delusion[181],Trump's alleged involvement in the Russian interference in the 2016 United States elections,,miscellaneous
Democrat Crazed and Irrational Hostility[182] / Presidential harassment[183] [l] / Trump derangement syndrome[184][m],Criticism of himself,,miscellaneous
A lynching[185] / Greatest Witch Hunt in American History[186] / Totally compromised kangaroo court[187],Donald Trump impeachment inquiry,,miscellaneous
The Age of Trump[188],The Trump presidency,,miscellaneous
Joe's Failing Campaign[189],Joe Biden's 2020 presidential campaign,,miscellaneous
Corrupt News Media[190] / Crooked[191] / Dishonest Press[192] / Fake News Media[193][194][i] / Lamestream Media[195] / Mainstream Fake Media[196] / Radical Left Wing Media[181],Mainstream media publications,,miscellaneous
China Virus[197][198] / Chinese Virus[199] / Invisible Enemy[200] / Kung Flu[201] / This Plague[202][203] / Plague from China[204] / Wuhan Virus[205],Severe acute respiratory syndrome coronavirus 2,Cause of the COVID-19 pandemic,miscellaneous
Infected China[206],China,"Country in East Asia, where SARS-CoV-2 was first identified",miscellaneous
